Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases x juego totales,Pases completos x partidos totales,Pases completos x cada 90 min,Pases totales,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Nahuel Ignacio Guzmán,38,Goalkeeper,Tigres UANL,Liga MX,Argentina,9.006305170239596,74.8,3.07,92.0,38.77,30.27,30.27,1163.0,20.0,0.2,3.07,,,,,,,,,,,,,,,,,,,
Julio César Domínguez Juárez,36,Defender,Atletico San Luis,Liga MX,Mexico,8.83984867591425,,,,49.87,,,1546.0,,,,79.0,33.0,1.37,85.0,52.76,0.38,0.34,1451.0,,,,,,,,,,,
Pablo Edson Barrera Acosta,36,Forward,Queretaro,Liga MX,Mexico,9.097099621689786,,,,24.0,18.0,20.14,,,,,,,,,,,,,1.43,0.82,0.52,1.2,0.68,3.72,450.0,,,,
Rodolfo Cota Robles,36,Goalkeeper,Leon,Liga MX,Mexico,9.006305170239596,57.89,2.36,66.0,21.39,15.96,15.96,599.0,18.0,0.21,2.36,,,,,,,,,,,,,,,,,,,
Camilo Andrés Vargas Gil,35,Goalkeeper,Atlas,Liga MX,Colombia,9.003783102143759,63.79,2.74,74.0,34.93,23.59,22.75,943.0,9.0,0.07,2.64,,,,,,,,,,,,,,,,,,,
Brayan Alexis Angulo León,34,Defender,Puebla,Liga MX,Colombia,8.771752837326607,,,,43.41,,,1172.0,,,,186.0,2.0,1.12,89.0,43.79,0.71,0.75,955.0,,,,,,,,,,,
Guido Pizarro,34,Midfielder,Tigres UANL,Liga MX,Argentina,8.741488020176545,,,,59.93,52.8,57.0,1798.0,,,,,,,83.0,,,,1584.0,,,,,,,,0.27,0.04,0.29,8.0
Javier Ignacio Aquino Carmona,34,Midfielder,Tigres UANL,Liga MX,Mexico,8.779319041614125,,,,51.18,43.07,46.13,1433.0,,,,,,,84.0,,,,1206.0,,,,,,,,0.71,0.0,0.76,20.0
Rafael De Souza Pereira,34,Midfielder,Tigres UANL,Liga MX,Brazil,9.059268600252206,,,,59.93,54.07,55.11,1798.0,,,,,,,88.0,,,,1622.0,,,,,,,,0.97,0.2,0.99,29.0
Eduardo Antonio Salvio,33,Midfielder,Pumas UNAM,Liga MX,Argentina,9.044136191677174,,,,30.0,23.74,25.81,930.0,,,,,,,83.0,,,,736.0,,,,,,,,2.0,0.42,2.17,62.0
Esteban Andrada,33,Goalkeeper,Monterrey,Liga MX,Argentina,9.006305170239596,78.76,3.18,89.0,35.75,28.0,28.0,1001.0,30.0,0.32,3.18,,,,,,,,,,,,,,,,,,,
Federico Eduardo Lértora,33,Midfielder,Queretaro,Liga MX,Argentina,8.912988650693569,,,,30.63,22.59,24.06,827.0,,,,,,,85.0,,,,610.0,,,,,,,,0.78,0.12,0.83,21.0
Hugo Alfonso González Durán,33,Goalkeeper,Mazatlan,Liga MX,Mexico,9.01891551071879,66.07,3.36,74.0,32.64,23.36,23.55,718.0,12.0,0.09,3.39,,,,,,,,,,,,,,,,,,,
Hugo Martín Nervo,33,Defender,Atlas,Liga MX,Argentina,8.837326607818412,,,,52.89,,,1428.0,,,,131.0,29.0,3.11,90.0,51.0,0.61,0.54,1128.0,,,,,,,,,,,
Jonathan dos Santos Ramírez,33,Midfielder,America,Liga MX,Mexico,8.870113493064313,,,,65.48,58.59,67.96,1899.0,,,,,,,75.0,,,,1699.0,,,,,,,,0.45,0.04,0.52,13.0
Tiago Luis Volpi,33,Goalkeeper,Toluca,Liga MX,Brazil,8.953341740226985,73.33,3.14,88.0,32.64,24.64,24.64,914.0,15.0,0.07,3.14,,,,,,,,,,,,,,,,,,,
Diego Eduardo De Buen Juárez,32,Midfielder,Puebla,Liga MX,Mexico,8.721311475409836,,,,45.11,38.36,38.79,1263.0,,,,,,,89.0,,,,1074.0,,,,,,,,0.96,0.21,0.98,27.0
Dieter Daniel Villalpando Pérez,32,Midfielder,Juarez,Liga MX,Mexico,9.059268600252206,,,,45.2,38.33,41.87,1356.0,,,,,,,82.0,,,,1150.0,,,,,,,,1.7,0.33,1.86,51.0
Javier Güemez López,32,Midfielder,Atletico San Luis,Liga MX,Mexico,8.877679697351828,,,,65.22,55.69,58.77,2087.0,,,,,,,85.0,,,,1782.0,,,,,,,,0.97,0.16,1.02,31.0
Julio José González Vela-Alvizu,32,Goalkeeper,Pumas UNAM,Liga MX,Mexico,8.976040353089534,71.85,3.03,97.0,25.97,17.03,17.03,831.0,23.0,0.16,3.03,,,,,,,,,,,,,,,,,,,
Carlos Gonzalez Espínola,31,Forward,Tijuana,Liga MX,Paraguay,9.092055485498108,,,,21.54,13.58,15.22,,,,,,,,,,,,,0.73,2.15,1.34,1.38,1.47,8.19,198.0,,,,
Pablo González Díaz,31,Midfielder,Puebla,Liga MX,Mexico,8.74905422446406,,,,37.15,32.12,38.26,966.0,,,,,,,76.0,,,,835.0,,,,,,,,0.5,0.09,0.6,13.0
Gastón Alexis Silva Perdomo,30,Defender,Puebla,Liga MX,Uruguay,8.791929382093317,,,,48.5,,,1358.0,,,,97.0,22.0,1.37,87.0,50.23,0.59,1.07,1145.0,,,,,,,,,,,
Igor Lichnovsky Osorio,30,Defender,America,Liga MX,Chile,8.789407313997478,,,,44.52,,,1024.0,,,,84.0,11.0,2.66,81.0,49.5,0.77,0.19,932.0,,,,,,,,,,,
