,Nombre,Edad,Fecha de nacimiento,Liga,Temporada,Posicion,Club,Nacionalidad,Calificacion,Minutos jugados totales,Minutos jugados local,Minutos jugados visita,Apariciones totales,Apariciones local,Apariciones visita,Goles totales,Goles local,Goles visita,Asistencias totales,Asistencias local,Asistencias visita,Goles penal,Penales errados,Partidos sin gol recibido totales,Partidos sin gol recibido local,Partidos sin gol recibido visita,Goles permitidos totales,Goles permitidos local,Goles permitidos visita,Tarjetas amarillas totales,Tarjetas rojas totales,Participacion en goles x cada 90 min totales,Asistencias x cada 90 min totales,Goles x cada 90 min totales,Goles x cada 90 min local,Goles x cada 90 min visita,Minutos x gol totales,Goles permitidos x cada 90 min totales,Minutos x goles permitidos totales,Minutos x partido,Minutos x tarjeta totales,Minutos x asistencia totales,Tarjetas x cada 90 min totales,Calificacion,Asistencias x partido totales,Pases x cada 90 minutos totales,Pases x juego totales,Pases totales,Pases completos x partidos totales,Pases completos totales,Pases completos x cada 90 min,Pases clave x partido totales,Pases clave totales,Centros x partido totales,Entradas x cada 90 min totales,Entradas x partido totales,Entradas totales,Balones perdidos x partido totales,Atajadas x partido totales,Intercepciones x partido totales,Regates existosos x partido totales,Tiros recibidos x partido totales,Tiros x goles anotados totales,Tiros x cada 90 min totales,Tiros desviados x partido totales,Regates x partido totales,Tiros puerta x partido totales,Duelos aereos ganados x partidos totales,Tiros totales,Tiros x partido totales,Tiros a puerta totales,Tiros puerta x cada 90 min totales,Tiros desviados totales,Tiros desviados x cada 90 min totales,Intercepciones totales,Intercepciones x cada 90 min totales,Centros totales,Centros x cada 90 min totales,Pases clave x cada 90 min totales,Regates totales,Regates x cada 90 min totales,Regates existosos totales,Regates existosos x cada 90 min totales,Porcentaje regates existosos totales,Atajadas totales,Atajadas x cada 90 min totales,Tiros recibidos totales,Tiros recibidos x cada 90 min totales,Porcentaje atajadas totales,Porcentaje pases completos totales,Porcentaje tiros precisos totales,Duelos regate perdidos x cada partido totales,Duelos regate perdidos x cada 90 min totales,Duelos regate perdidos totales,Penales anotados totales,Penales errados totales,Bloqueos x partido totales,Bloqueos x cada 90 min totales,Bloqueos totales,Despejes x partido totales,Despejes x cada 90 min totales,Despejes totales,Penales cometidos totales,Penales cometidos x cada 90 min totales,Penales cometidos x partido totales,Penales atajados totales,Penales ejecutados totales,Tiros a poste totales,Tiros a poste x partido totales,Tiros a poste x cada 90 min totales,Punetazos totales,Punetazos x partido totales,Punetazos x cada 90 min totales,Offsides x cada 90 min totales,Offsides x partido totales,Offsides totales,Penales generados totales,Tasa tiros/goles totales,Faltas recibidas totales,Faltas recibidas x partido totales,Faltas recibidas x cada 90 min totales,Faltas cometidas x cada 90 min totales,Faltas cometidas x partido totales,Faltas cometidas totales,Duelos aereos ganados totales,Duelos aereos ganados x cada 90 min totales,Duelos x cada 90 min totales,Duelos x partido totales,Duelos totales,Duelos ganados totales,Duelos ganados x cada 90 min totales,Duelos ganados x partido totales,Porcentaje duelos ganados totales,Balones perdidos totales,Balones perdidos x cada 90 min totales,Porcentaje centros precisos totales,Centros precisos totales,Centros precisos x partido totales,Centros precisos x cada 90 min totales,Hattricks totales
4,Nahuel Ignacio Guzmán,38,10/02/1986,Liga MX,2022/2023,Goalkeeper,Tigres UANL,Argentina,0.9155107187894073,0.7993119266055047,0.6298157453936346,1.0000000000000002,0.6999999999999997,0.5714285714285716,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4285714285714285,0.4444444444444445,0.42857142857142855,0.4666666666666667,0.21052631578947373,0.5909090909090909,0.6923076923076923,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3366336633663367,0.4390243902439025,1.0,0.12122432541280709,0.0,0.6122448979591837,0.9155107187894073,0.0,0.46425577775116755,0.48982943777637394,0.5442208703790361,0.4403549607215595,0.4892241379310345,0.41734454708396523,0.0,0.0,0.004201680672268907,0.0,0.0,0.0,0.0,0.7542997542997542,0.0,0.023026315789473686,0.6788079470198676,0.0,0.0,0.0,0.02218430034129693,0.0,0.054878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0037546933667083854,0.0,0.022988505747126436,0.02009273570324575,0.024390243902439025,0.022875816993464054,0.5,0.8070175438596491,0.7542997542997542,0.7278106508875739,0.6788079470198676,0.748,0.8317707223524397,0.0,0.019999999999999997,0.01948051948051948,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.15760869565217395,0.14621848739495796,0.174496644295302,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.375,0.3448275862068966,0.3448275862068966,0.0,0.0,0.0,0.0,0.0,0.07317073170731708,0.06825938566552901,0.06172839506172839,0.014084507042253521,0.01442307692307692,0.018518518518518517,0.0625,0.04891304347826088,0.03730512249443207,0.04123076923076924,0.04395604395604395,0.06726457399103139,0.056818181818181816,0.06281407035175879,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Julio César Domínguez Juárez,36,08/11/1987,Liga MX,2022/2023,Defender,Atletico San Luis,Mexico,0.8701134930643128,0.721330275229358,0.8911222780569514,0.602131438721137,0.7999999999999998,1.0,0.4999999999999998,0.11764705882352941,0.09090909090909091,0.1,0.07692307692307693,0.14285714285714285,0.0,0.0,0,0.2857142857142857,0.4444444444444445,0.14285714285714285,0.9333333333333332,0.7368421052631577,0.7727272727272727,0.3076923076923077,0.0,0.10204081632653061,0.061224489795918366,0.10294117647058823,0.07894736842105264,0.08536585365853659,0.47275985663082437,0.831683168316832,0.07317073170731703,0.7826086956521738,0.2654047523157471,0.955781080101486,0.28571428571428575,0.8701134930643128,0.06666666666666667,0.6317806250748412,0.630069488313329,0.7234440804866635,0.680971777713122,0.7817887931034483,0.6827519647042604,0.031545741324921134,0.03260869565217391,0.0,0.2096069868995633,0.20179372197309417,0.24137931034482757,0.04201680672268908,0.0,0.4329268292682927,0.03289473684210527,0.0,0.13461538461538464,0.075,0.1111111111111111,0.017064846416382253,0.04195804195804196,0.2621951219512195,0.09090909090909091,0.08363636363636365,0.05,0.04216867469879519,0.125,0.09826589595375725,0.5116279069767442,0.390625,0.0,0.0,0.028818443804034585,0.017241379310344827,0.015455950540958269,0.03658536585365854,0.032679738562091505,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.2857,0.21333333333333332,0.2207792207792208,0.2564102564102564,0.0,0.0,0.8688524590163935,0.856060606060606,1.0,0.6068840579710146,0.5966386554621848,0.697986577181208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03797468354430379,0.044117647058823525,0.05263157894736842,0.0,0.2857,0.0975609756097561,0.08873720136518772,0.08333333333333333,0.1784037558685446,0.16826923076923075,0.2037037037037037,0.3125,0.2481884057971015,0.2717149220489978,0.28369230769230774,0.3142857142857143,0.3542600896860986,0.3068181818181818,0.3203517587939698,0.5892266666666667,0.04477611940298507,0.03952569169960475,0.0,0.0,0.0,0.0,0.0
14,Pablo Edson Barrera Acosta,36,21/06/1987,Liga MX,2022/2023,Forward,Queretaro,Mexico,0.905422446406053,0.2798165137614679,0.4606365159128978,0.374777975133215,0.5,0.5714285714285716,0.4999999999999998,0.29411764705882354,0.4545454545454546,0.0,0.6153846153846154,0.5714285714285714,0.5714285714285714,0.2857142857142857,0,0.21428571428571427,0.1111111111111111,0.42857142857142855,0.6,0.3684210526315789,0.6363636363636365,0.23076923076923078,0.0,0.5306122448979592,0.653061224489796,0.29411764705882354,0.5131578947368421,0.0,0.16129032258064516,0.6930693069306932,0.14634146341463417,0.5652173913043477,0.30245670559806687,0.1022109459949257,0.24489795918367346,0.905422446406053,0.6444444444444444,0.32163812717039875,0.3032217308907138,0.31445952269536737,0.2618562700029095,0.27155172413793105,0.27767820212325933,0.7665615141955836,0.7391304347826086,1.0,0.24454148471615725,0.2242152466367713,0.24137931034482757,0.4495798319327731,0.0,0.23780487804878048,0.47039473684210525,0.0,0.17692307692307693,0.28750000000000003,0.24999999999999997,0.5546075085324231,0.3216783216783217,0.058943089430894303,0.29870129870129875,0.29818181818181816,0.325,0.31325301204819284,0.25,0.23121387283236997,0.2558139534883721,0.22916666666666669,1.0,1.0,0.7838616714697407,0.5229885057471264,0.562596599690881,0.4878048780487805,0.5228758169934641,0.4396,0.0,0.0,0.0,0.0,0.0,0.7990624334114639,0.5652,0.5,0.5454545454545454,0.5384615384615384,0.2857142857142857,0.0,0.09016393442622951,0.09090909090909091,0.09090909090909091,0.05797101449275363,0.06050420168067226,0.060402684563758385,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.15189873417721517,0.16176470588235292,0.15789473684210525,0.0,0.21739999999999998,0.20731707317073172,0.20819112627986347,0.20987654320987656,0.22535211267605634,0.20673076923076922,0.2222222222222222,0.0625,0.05797101449275363,0.47160356347438753,0.4658461538461539,0.46593406593406594,0.4170403587443946,0.42272727272727273,0.4170854271356783,0.4679466666666666,0.44776119402985076,0.47430830039525695,0.355,1.0,0.9999999999999999,1.0,0.0
15,Rodolfo Cota Robles,36,03/07/1987,Liga MX,2022/2023,Goalkeeper,Leon,Mexico,0.862547288776797,0.7935779816513762,0.6298157453936346,0.9911190053285968,0.6999999999999997,0.5714285714285716,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.21428571428571427,0.3333333333333333,0.14285714285714285,0.9,0.4210526315789474,1.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623762376237624,0.1097560975609756,1.0,0.5436971405557793,0.0,0.14285714285714288,0.862547288776797,0.0,0.25613698958208597,0.2702463676563487,0.2802994852597099,0.23217922606924646,0.2408405172413793,0.220046877154281,0.0,0.0,0.0,0.008733624454148473,0.008968609865470852,0.008620689655172414,0.0,0.5798525798525798,0.0,0.013157894736842106,0.6738410596026491,0.0,0.0,0.0,0.0068259385665529,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747126436781609,0.0061823802163833074,0.012195121951219513,0.013071895424836602,1.0,0.5789473684210527,0.5798525798525798,0.6745562130177515,0.6738410596026491,0.5789,0.7950138504155124,0.0,0.04666666666666667,0.045454545454545456,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.1739130434782609,0.16134453781512603,0.18120805369127516,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.875,0.8620689655172414,0.8620689655172414,0.0,0.0,0.0,0.0,0.0,0.07317073170731708,0.07167235494880546,0.06481481481481481,0.018779342723004695,0.01923076923076923,0.018518518518518517,0.0390625,0.03260869565217392,0.035634743875278395,0.039384615384615386,0.03956043956043956,0.06726457399103139,0.06136363636363636,0.0678391959798995,0.8888533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Camilo Andrés Vargas Gil,35,09/03/1989,Liga MX,2022/2023,Goalkeeper,Atlas,Colombia,0.9003783102143758,0.5871559633027523,0.47906197654941374,0.8312611012433393,0.5,0.4285714285714286,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3571428571428571,0.6666666666666665,0.0,0.7000000000000001,0.31578947368421045,0.8181818181818181,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6534653465346536,0.1707317073170732,1.0,0.3383004430124849,0.0,0.22448979591836735,0.9003783102143758,0.0,0.40330499341396236,0.4413139608338597,0.441272812353767,0.34317718940936864,0.3432112068965517,0.31366331173307593,0.012618296529968454,0.010869565217391304,0.0,0.008733624454148473,0.008968609865470852,0.008620689655172414,0.0,0.6732186732186732,0.0,0.013157894736842106,0.7119205298013245,0.0,0.0,0.0,0.0068259385665529,0.0,0.008130081300813007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011527377521613834,0.005747126436781609,0.0061823802163833074,0.012195121951219513,0.013071895424836602,1.0,0.6491228070175439,0.6486486486486486,0.6863905325443787,0.6854304635761589,0.6379,0.7196888983592584,0.0,0.026666666666666665,0.025974025974025976,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.09420289855072465,0.08403361344537814,0.09395973154362416,0.3333333333333333,0.33333333333333337,0.33333333333333337,0.5,0.0,0.0,0.0,0.0,0.3125,0.32758620689655177,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.023890784982935155,0.02160493827160494,0.018779342723004695,0.01923076923076923,0.018518518518518517,0.0078125,0.007246376811594204,0.017817371937639197,0.02030769230769231,0.01978021978021978,0.03139013452914798,0.028409090909090908,0.03266331658291457,0.8296533333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Brayan Alexis Angulo León,34,02/11/1989,Liga MX,2022/2023,Defender,Puebla,Colombia,0.8865069356872636,0.5630733944954129,0.6113902847571189,0.6536412078152753,0.5,0.5714285714285716,0.4999999999999998,0.11764705882352941,0.09090909090909091,0.1,0.46153846153846156,0.42857142857142855,0.42857142857142855,0.0,0,0.0,0.1111111111111111,0.0,0.9,0.8421052631578947,0.6363636363636365,0.46153846153846156,0.5,0.29591836734693877,0.4489795918367347,0.10294117647058823,0.09210526315789475,0.08536585365853659,0.44802867383512546,0.8811881188118815,0.04878048780487809,0.9565217391304346,0.1437776882803061,0.1511417180137731,0.5102040816326531,0.8865069356872636,0.4666666666666667,0.5243683391210633,0.5484523057485785,0.5484323818437061,0.5145475705557172,0.5145474137931034,0.4919343719840066,0.37539432176656146,0.34782608695652173,0.5294117647058824,0.4170305676855895,0.42376681614349776,0.4396551724137931,0.7016806722689075,0.0,0.7439024390243902,1.0,0.0,0.2884615384615385,0.17500000000000002,0.22916666666666666,0.8276450511945391,0.15384615384615385,0.22560975609756098,0.19480519480519481,0.20363636363636367,0.15000000000000002,0.13253012048192772,0.225,0.1965317919075145,0.7674418604651163,0.640625,0.51,0.47684605757196497,0.345821325648415,0.7528735632183908,0.7557959814528593,1.0,1.0,0.626,0.0,0.0,0.0,0.0,0.0,0.8681014276582143,0.4,0.4933333333333333,0.487012987012987,0.5128205128205128,0.0,0.0,0.05737704918032788,0.05303030303030303,0.06060606060606061,0.1811594202898551,0.16974789915966385,0.18120805369127516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050632911392405056,0.058823529411764705,0.05263157894736842,0.0,0.1333,0.2804878048780488,0.2901023890784983,0.26543209876543206,0.3333333333333333,0.3365384615384615,0.35185185185185186,0.234375,0.20289855072463772,0.7010022271714922,0.768,0.7406593406593407,0.8340807174887892,0.7897727272727273,0.865577889447236,0.5886933333333333,0.6716417910447761,0.6640316205533597,0.2549,0.36619718309859156,0.37795275590551175,0.34154929577464793,0.0
32,Guido Pizarro,34,26/02/1990,Liga MX,2022/2023,Midfielder,Tigres UANL,Argentina,0.8663303909205549,0.5653669724770642,0.5544388609715241,0.7175843694493784,0.6999999999999997,0.5714285714285716,0.8333333333333333,0.0,0.0,0.0,0.07692307692307693,0.0,0.14285714285714285,0.0,0,0.4285714285714285,0.5555555555555556,0.2857142857142857,0.30000000000000004,0.10526315789473684,0.4545454545454546,0.23076923076923078,0.0,0.04081632653061225,0.0816326530612245,0.0,0.0,0.0,0.0,0.23762376237623772,0.5609756097560975,0.6956521739130435,0.33588401127668144,0.906487857919536,0.22448979591836735,0.8663303909205549,0.06666666666666667,0.7747575140701712,0.7571699305116866,0.8413664014974264,0.7681117253418679,0.853448275862069,0.7858817041224321,0.08517350157728706,0.08695652173913043,0.018207282913165267,0.3056768558951965,0.2914798206278027,0.33620689655172414,0.09663865546218488,0.0,0.4695121951219512,0.00986842105263158,0.0,0.0,0.11249999999999999,0.1597222222222222,0.05119453924914675,0.06993006993006994,0.3252032520325203,0.12987012987012989,0.12000000000000001,0.07500000000000001,0.06626506024096386,0.17500000000000002,0.14450867052023122,0.5348837209302325,0.4322916666666667,0.02,0.017521902377972468,0.08357348703170028,0.05172413793103448,0.04945904173106646,0.012195121951219513,0.013071895424836602,0.11109999999999999,0.0,0.0,0.0,0.0,0.0,0.9386320051139995,0.3,0.6,0.6298701298701298,0.6923076923076923,0.0,0.0,0.4672131147540983,0.4621212121212121,0.5151515151515151,0.3206521739130435,0.3210084033613445,0.35570469798657717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3780487804878049,0.35153583617747436,0.34567901234567905,0.3051643192488263,0.28846153846153844,0.3333333333333333,0.375,0.31340579710144933,0.44097995545657015,0.4510769230769231,0.4835164835164835,0.5291479820627802,0.4829545454545454,0.4937185929648241,0.57216,0.1044776119402985,0.09881422924901187,0.25,0.014084507042253521,0.011811023622047242,0.014084507042253523,0.0
34,Javier Ignacio Aquino Carmona,34,11/02/1990,Liga MX,2022/2023,Midfielder,Tigres UANL,Mexico,0.8902900378310215,0.3956422018348622,0.7051926298157456,0.29484902309058625,0.5,0.7142857142857144,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4999999999999999,0.6666666666666665,0.2857142857142857,0.23333333333333328,0.10526315789473684,0.36363636363636365,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2178217821782179,0.5853658536585366,0.7391304347826084,0.9476439790575917,0.0,0.0816326530612245,0.8902900378310215,0.0,0.6563285834031852,0.6466203411244472,0.670566214319139,0.6265638638347396,0.6497844827586207,0.6360126844064525,0.22397476340694003,0.21739130434782608,0.4299719887955182,0.5851528384279476,0.5605381165919283,0.603448275862069,0.36134453781512604,0.0,0.7378048780487805,0.375,0.0,0.0,0.11875,0.20138888888888887,0.2918088737201365,0.04895104895104896,0.16056910569105692,0.12987012987012989,0.13090909090909092,0.05,0.04819277108433735,0.2,0.17919075144508673,0.7906976744186046,0.6770833333333334,0.43,0.411764705882353,0.21902017291066284,0.27586206896551724,0.28438948995363217,0.3902439024390244,0.3986928104575163,0.6667000000000001,0.0,0.0,0.0,0.0,0.0,0.8966545919454506,0.2,0.5933333333333333,0.6233766233766234,0.641025641025641,0.0,0.0,0.14754098360655737,0.14393939393939395,0.15151515151515152,0.19384057971014496,0.19327731092436973,0.20134228187919462,0.6666666666666666,0.6666666666666667,0.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050632911392405056,0.058823529411764705,0.05263157894736842,0.0,0.0,0.4878048780487805,0.48805460750853236,0.4722222222222222,0.3427230046948357,0.3269230769230769,0.35185185185185186,0.171875,0.15217391304347827,0.5707126948775055,0.588923076923077,0.589010989010989,0.7309417040358744,0.7079545454545455,0.7311557788944724,0.6487466666666667,0.3582089552238806,0.3636363636363637,0.2093,0.2535211267605634,0.25196850393700787,0.24295774647887325,0.0
39,Rafael De Souza Pereira,34,18/06/1989,Liga MX,2022/2023,Midfielder,Tigres UANL,Brazil,0.9029003783102144,0.7350917431192658,0.8760469011725291,0.6394316163410301,0.6999999999999997,0.8571428571428572,0.4999999999999998,0.058823529411764705,0.09090909090909091,0.0,0.38461538461538464,0.14285714285714285,0.5714285714285714,0.0,0,0.4999999999999999,0.6666666666666665,0.2857142857142857,0.30000000000000004,0.21052631578947373,0.36363636363636365,0.38461538461538464,0.0,0.20408163265306123,0.34693877551020413,0.044117647058823525,0.07894736842105264,0.0,0.9494623655913978,0.18811881188118817,0.6341463414634146,0.9130434782608696,0.21345146999597261,0.1920985864443639,0.34693877551020413,0.9029003783102144,0.3777777777777778,0.7315291581846486,0.7571699305116866,0.8413664014974264,0.7865871399476287,0.8739224137931034,0.7598235213015304,0.305993690851735,0.31521739130434784,0.07983193277310924,0.4454148471615721,0.4484304932735426,0.5172413793103449,0.3907563025210084,0.0,0.4268292682926829,0.23026315789473684,0.0,0.46153846153846156,0.128125,0.1875,0.17576791808873718,0.09090909090909093,0.054878048780487805,0.15584415584415584,0.14545454545454548,0.1,0.08433734939759038,0.2,0.15606936416184974,0.4883720930232558,0.3697916666666667,0.085,0.07259073842302878,0.28530259365994237,0.1781609195402299,0.16228748068006182,0.25609756097560976,0.23202614379084965,0.6774,0.0,0.0,0.0,0.0,0.0,0.9611122949073087,0.3333,0.5333333333333333,0.5324675324675324,0.6153846153846154,0.0,0.0,0.13934426229508198,0.12878787878787878,0.15151515151515152,0.10326086956521739,0.09747899159663864,0.11409395973154363,0.0,0.0,0.0,0.0,0.0,0.25,0.21428571428571427,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.524390243902439,0.48805460750853236,0.45061728395061723,0.49295774647887325,0.49519230769230765,0.5740740740740741,0.0625,0.04891304347826088,0.433184855233853,0.46953846153846157,0.5032967032967033,0.5919282511210763,0.5090909090909091,0.5527638190954773,0.6148266666666666,0.417910447761194,0.3754940711462451,0.4118,0.09859154929577466,0.0905511811023622,0.08450704225352113,0.0
44,Eduardo Antonio Salvio,33,13/07/1990,Liga MX,2022/2023,Midfielder,Pumas UNAM,Argentina,0.8940731399747793,0.6399082568807337,0.6666666666666665,0.7140319715808172,0.7999999999999998,0.8571428571428572,0.6666666666666667,0.29411764705882354,0.2727272727272727,0.2,0.5384615384615385,0.7142857142857142,0.2857142857142857,0.14285714285714285,0,0.4999999999999999,0.7777777777777777,0.14285714285714285,0.5333333333333333,0.05263157894736842,0.8181818181818181,0.5384615384615385,0.0,0.42857142857142855,0.5102040816326531,0.2647058823529411,0.27631578947368424,0.17073170731707318,0.18387096774193548,0.45544554455445563,0.31707317073170727,0.6956521739130435,0.1478050745066452,0.13301920985864443,0.5102040816326531,0.8940731399747793,0.5111111111111112,0.3906119027661357,0.3790271636133923,0.43518951801591016,0.3453593249927262,0.39655172413793105,0.3558527505859644,0.6309148264984227,0.6739130434782609,0.6050420168067228,0.21397379912663755,0.20179372197309417,0.24137931034482757,0.5546218487394958,0.0,0.21341463414634146,0.8388157894736842,0.0,0.5307692307692308,0.75625,0.8958333333333334,0.9573378839590443,0.6573426573426574,0.13821138211382114,0.8961038961038962,0.8109090909090909,0.7250000000000001,0.6144578313253013,1.0,0.8092485549132948,0.2558139534883721,0.20312500000000003,0.67,0.5882352941176471,0.6253602305475504,1.0,0.9428129829984543,0.9634146341463415,0.9052287581699346,0.454,0.0,0.0,0.0,0.0,0.0,0.8431706797357766,0.4203,0.4733333333333333,0.5,0.5641025641025641,0.14285714285714285,0.0,0.02459016393442623,0.030303030303030304,0.030303030303030304,0.052536231884057975,0.05378151260504201,0.060402684563758385,0.6666666666666666,0.5833333333333335,0.5,0.0,0.14285714285714285,1.0,0.9285714285714285,0.9333333333333335,0.0,0.0,0.0,0.3164556962025316,0.338235294117647,0.3684210526315789,0.0,0.0725,0.34146341463414637,0.3071672354948805,0.3024691358024691,0.4131455399061033,0.3894230769230769,0.4629629629629629,0.1640625,0.13405797101449277,0.6798440979955457,0.6910769230769231,0.7648351648351648,0.6995515695067265,0.6215909090909091,0.6319095477386935,0.47818666666666665,0.6119402985074627,0.5691699604743083,0.2836,0.5352112676056339,0.484251968503937,0.4683098591549296,0.0
