,Nombre,Edad,Fecha de nacimiento,Liga,Temporada,Posicion,Club,Nacionalidad,Calificacion,Minutos jugados totales,Minutos jugados local,Minutos jugados visita,Apariciones totales,Apariciones local,Apariciones visita,Goles totales,Goles local,Goles visita,Asistencias totales,Asistencias local,Asistencias visita,Goles penal,Penales errados,Partidos sin gol recibido totales,Partidos sin gol recibido local,Partidos sin gol recibido visita,Goles permitidos totales,Goles permitidos local,Goles permitidos visita,Tarjetas amarillas totales,Tarjetas rojas totales,Participacion en goles x cada 90 min totales,Asistencias x cada 90 min totales,Goles x cada 90 min totales,Goles x cada 90 min local,Goles x cada 90 min visita,Minutos x gol totales,Goles permitidos x cada 90 min totales,Minutos x goles permitidos totales,Minutos x partido,Minutos x tarjeta totales,Minutos x asistencia totales,Tarjetas x cada 90 min totales,Calificacion,Asistencias x partido totales,Pases x cada 90 minutos totales,Pases x juego totales,Pases totales,Pases completos x partidos totales,Pases completos totales,Pases completos x cada 90 min,Pases clave x partido totales,Pases clave totales,Centros x partido totales,Entradas x cada 90 min totales,Entradas x partido totales,Entradas totales,Balones perdidos x partido totales,Atajadas x partido totales,Intercepciones x partido totales,Regates existosos x partido totales,Tiros recibidos x partido totales,Tiros x goles anotados totales,Tiros x cada 90 min totales,Tiros desviados x partido totales,Regates x partido totales,Tiros puerta x partido totales,Duelos aereos ganados x partidos totales,Tiros totales,Tiros x partido totales,Tiros a puerta totales,Tiros puerta x cada 90 min totales,Tiros desviados totales,Tiros desviados x cada 90 min totales,Intercepciones totales,Intercepciones x cada 90 min totales,Centros totales,Centros x cada 90 min totales,Pases clave x cada 90 min totales,Regates totales,Regates x cada 90 min totales,Regates existosos totales,Regates existosos x cada 90 min totales,Porcentaje regates existosos totales,Atajadas totales,Atajadas x cada 90 min totales,Tiros recibidos totales,Tiros recibidos x cada 90 min totales,Porcentaje atajadas totales,Porcentaje pases completos totales,Porcentaje tiros precisos totales,Duelos regate perdidos x cada partido totales,Duelos regate perdidos x cada 90 min totales,Duelos regate perdidos totales,Penales anotados totales,Penales errados totales,Bloqueos x partido totales,Bloqueos x cada 90 min totales,Bloqueos totales,Despejes x partido totales,Despejes x cada 90 min totales,Despejes totales,Penales cometidos totales,Penales cometidos x cada 90 min totales,Penales cometidos x partido totales,Penales atajados totales,Penales ejecutados totales,Tiros a poste totales,Tiros a poste x partido totales,Tiros a poste x cada 90 min totales,Punetazos totales,Punetazos x partido totales,Punetazos x cada 90 min totales,Offsides x cada 90 min totales,Offsides x partido totales,Offsides totales,Penales generados totales,Tasa tiros/goles totales,Faltas recibidas totales,Faltas recibidas x partido totales,Faltas recibidas x cada 90 min totales,Faltas cometidas x cada 90 min totales,Faltas cometidas x partido totales,Faltas cometidas totales,Duelos aereos ganados totales,Duelos aereos ganados x cada 90 min totales,Duelos x cada 90 min totales,Duelos x partido totales,Duelos totales,Duelos ganados totales,Duelos ganados x cada 90 min totales,Duelos ganados x partido totales,Porcentaje duelos ganados totales,Balones perdidos totales,Balones perdidos x cada 90 min totales,Porcentaje centros precisos totales,Centros precisos totales,Centros precisos x partido totales,Centros precisos x cada 90 min totales,Hattricks totales
4,Nahuel Ignacio Guzmán,38,10/02/1986,Liga MX,2022/2023,Goalkeeper,Tigres UANL,Argentina,7.26,2705,1260,1445,30,14,16,0,0,0,0,0,0,0,0,9,5,4,30,11,19,9,1,0.0,0.0,0.0,0.0,0.0,0,1.0,90,90,301,0,0.3,7.26,0.0,38.77,38.77,1163.0,30.27,908.0,30.27,0.0,0.0,0.03,0.0,0.0,0.0,0.0,3.07,0.0,0.07,4.1,0.0,0.0,0.0,0.13,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,4.0,0.13,2.0,0.07,50.0,92.0,3.07,123.0,4.1,74.8,78.07,0.0,0.03,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.87,0.87,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,6.0,0.2,0.2,0.03,0.03,1.0,8.0,0.27,0.67,0.67,20.0,15.0,0.5,0.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Julio César Domínguez Juárez,36,08/11/1987,Liga MX,2022/2023,Defender,Atletico San Luis,Mexico,6.9,2637,1416,1221,31,17,14,2,1,1,1,1,0,0,0,7,5,2,44,21,23,4,0,0.1,0.03,0.07,0.06,0.07,1319,1.5,60,85,659,2637,0.14,6.9,0.03,52.76,49.87,1546.0,46.81,1451.0,49.52,0.1,3.0,0.0,0.96,0.9,28.0,0.1,0.0,0.71,0.1,0.0,3.5,0.24,0.16,0.1,0.06,1.29,7.0,0.23,2.0,0.07,5.0,0.17,22.0,0.75,0.0,0.0,0.1,3.0,0.1,3.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,93.86,28.57,0.32,0.34,10.0,0.0,0.0,1.06,1.13,33.0,3.35,3.55,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.0,0.0,28.57,8.0,0.26,0.27,0.38,0.35,11.0,40.0,1.37,4.88,4.61,143.0,79.0,2.7,2.55,55.24,3.0,0.1,0.0,0.0,0.0,0.0,0.0
14,Pablo Edson Barrera Acosta,36,21/06/1987,Liga MX,2022/2023,Forward,Queretaro,Mexico,7.18,2252,1159,1093,28,14,14,5,5,0,8,4,4,2,0,6,2,4,34,14,20,3,0,0.52,0.32,0.2,0.39,0.0,450,1.36,66,80,751,282,0.12,7.18,0.29,26.86,24.0,672.0,18.0,504.0,20.14,2.43,68.0,7.14,1.12,1.0,28.0,1.07,0.0,0.39,1.43,0.0,4.6,0.92,0.36,3.25,0.46,0.29,23.0,0.82,13.0,0.52,10.0,0.4,11.0,0.44,200.0,7.99,2.72,91.0,3.64,40.0,1.6,43.96,0.0,0.0,0.0,0.0,0.0,75.0,56.52,0.75,0.84,21.0,2.0,0.0,0.11,0.12,3.0,0.32,0.36,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,3.0,0.0,21.74,17.0,0.61,0.68,0.48,0.43,12.0,8.0,0.32,8.47,7.57,212.0,93.0,3.72,3.32,43.87,30.0,1.2,35.5,71.0,2.54,2.84,0.0
15,Rodolfo Cota Robles,36,03/07/1987,Liga MX,2022/2023,Goalkeeper,Leon,Mexico,6.84,2700,1260,1440,30,14,16,0,0,0,0,0,0,0,0,6,4,2,43,15,28,2,0,0.0,0.0,0.0,0.0,0.0,0,1.43,63,90,1350,0,0.07,6.84,0.0,21.39,21.39,599.0,15.96,447.0,15.96,0.0,0.0,0.0,0.04,0.04,1.0,0.0,2.36,0.0,0.04,4.07,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.04,100.0,66.0,2.36,114.0,4.07,57.89,74.62,0.0,0.07,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,27.0,1.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,14.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,6.0,0.21,0.21,0.04,0.04,1.0,5.0,0.18,0.64,0.64,18.0,15.0,0.54,0.54,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Camilo Andrés Vargas Gil,35,09/03/1989,Liga MX,2022/2023,Goalkeeper,Atlas,Colombia,7.14,2520,1170,1350,28,13,15,0,0,0,0,0,0,0,0,8,7,1,37,13,24,3,0,0.0,0.0,0.0,0.0,0.0,0,1.32,68,90,840,0,0.11,7.14,0.0,33.68,34.93,943.0,23.59,637.0,22.75,0.04,1.0,0.0,0.04,0.04,1.0,0.0,2.74,0.0,0.04,4.3,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,0.04,1.0,0.04,100.0,74.0,2.64,116.0,4.14,63.79,67.55,0.0,0.04,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.52,0.5,14.0,1.0,0.04,0.04,1.0,0.0,0.0,0.0,0.0,5.0,0.19,0.18,0.0,0.0,0.0,0.0,0.0,2.0,0.07,0.07,0.04,0.04,1.0,1.0,0.04,0.32,0.33,9.0,7.0,0.25,0.26,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Brayan Alexis Angulo León,34,02/11/1989,Liga MX,2022/2023,Defender,Puebla,Colombia,7.03,2499,1249,1250,28,14,14,2,1,1,6,3,3,0,0,3,2,1,43,23,20,6,1,0.29,0.22,0.07,0.07,0.07,1250,1.55,58,89,357,417,0.25,7.03,0.21,43.79,43.41,1172.0,35.37,955.0,35.68,1.19,32.0,3.78,1.91,1.89,51.0,1.67,0.0,1.22,3.04,0.0,7.5,0.56,0.33,4.85,0.22,1.11,15.0,0.56,6.0,0.22,9.0,0.34,33.0,1.23,102.0,3.81,1.2,131.0,4.89,82.0,3.06,62.6,0.0,0.0,0.0,0.0,0.0,81.48,40.0,0.74,0.75,20.0,0.0,0.0,0.07,0.07,2.0,1.0,1.01,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,1.0,0.0,13.33,23.0,0.85,0.86,0.71,0.7,19.0,30.0,1.12,12.59,12.48,337.0,186.0,6.95,6.89,55.19,45.0,1.68,25.49,26.0,0.96,0.97,0.0
32,Guido Pizarro,34,26/02/1990,Liga MX,2022/2023,Midfielder,Tigres UANL,Argentina,6.87,2501,1215,1286,30,14,16,0,0,0,1,0,1,0,0,9,6,3,25,9,16,3,0,0.04,0.04,0.0,0.0,0.0,0,0.9,100,83,834,2501,0.11,6.87,0.03,64.7,59.93,1798.0,52.8,1584.0,57.0,0.27,8.0,0.13,1.4,1.3,39.0,0.23,0.0,0.77,0.03,0.0,0.0,0.36,0.23,0.3,0.1,1.6,10.0,0.33,3.0,0.11,7.0,0.25,23.0,0.83,4.0,0.14,0.29,9.0,0.32,1.0,0.04,11.11,0.0,0.0,0.0,0.0,0.0,88.1,30.0,0.9,0.97,27.0,0.0,0.0,0.57,0.61,17.0,1.77,1.91,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.03,1.12,0.65,0.6,18.0,48.0,1.73,7.92,7.33,220.0,118.0,4.25,3.93,53.64,7.0,0.25,25.0,1.0,0.03,0.04,0.0
34,Javier Ignacio Aquino Carmona,34,11/02/1990,Liga MX,2022/2023,Midfielder,Tigres UANL,Mexico,7.06,2353,1305,1048,28,15,13,0,0,0,0,0,0,0,0,10,7,3,23,9,14,1,0,0.0,0.0,0.0,0.0,0.0,0,0.88,102,84,2353,0,0.04,7.06,0.0,54.81,51.18,1433.0,43.07,1206.0,46.13,0.71,20.0,3.07,2.68,2.5,70.0,0.86,0.0,1.21,1.14,0.0,0.0,0.38,0.29,1.71,0.07,0.79,10.0,0.36,2.0,0.08,8.0,0.31,34.0,1.3,86.0,3.29,0.76,48.0,1.84,32.0,1.22,66.67,0.0,0.0,0.0,0.0,0.0,84.16,20.0,0.89,0.96,25.0,0.0,0.0,0.18,0.19,5.0,1.07,1.15,30.0,2.0,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,1.0,0.0,0.0,40.0,1.43,1.53,0.73,0.68,19.0,22.0,0.84,10.25,9.57,268.0,163.0,6.23,5.82,60.82,24.0,0.92,20.93,18.0,0.64,0.69,0.0
39,Rafael De Souza Pereira,34,18/06/1989,Liga MX,2022/2023,Midfielder,Tigres UANL,Brazil,7.16,2649,1407,1242,30,16,14,1,1,0,5,1,4,0,0,10,7,3,25,11,14,5,0,0.2,0.17,0.03,0.06,0.0,2649,0.85,106,88,530,530,0.17,7.16,0.17,61.09,59.93,1798.0,54.07,1622.0,55.11,0.97,29.0,0.57,2.04,2.0,60.0,0.93,0.0,0.7,0.7,0.0,12.0,0.41,0.27,1.03,0.13,0.27,12.0,0.4,4.0,0.14,8.0,0.27,21.0,0.71,17.0,0.58,0.99,31.0,1.05,21.0,0.71,67.74,0.0,0.0,0.0,0.0,0.0,90.21,33.33,0.8,0.82,24.0,0.0,0.0,0.17,0.17,5.0,0.57,0.58,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,43.0,1.43,1.46,1.05,1.03,31.0,8.0,0.27,7.78,7.63,229.0,132.0,4.48,4.4,57.64,28.0,0.95,41.18,7.0,0.23,0.24,0.0
44,Eduardo Antonio Salvio,33,13/07/1990,Liga MX,2022/2023,Midfielder,Pumas UNAM,Argentina,7.09,2566,1282,1284,31,16,15,5,3,2,7,5,2,1,0,10,8,2,32,8,24,7,0,0.42,0.25,0.18,0.21,0.14,513,1.12,80,83,367,367,0.25,7.09,0.23,32.62,30.0,930.0,23.74,736.0,25.81,2.0,62.0,4.32,0.98,0.9,28.0,1.32,0.0,0.35,2.55,0.0,13.8,2.42,1.29,5.61,0.94,0.68,69.0,2.23,29.0,1.02,40.0,1.4,11.0,0.39,134.0,4.7,2.17,174.0,6.1,79.0,2.77,45.4,0.0,0.0,0.0,0.0,0.0,79.14,42.03,0.71,0.77,22.0,1.0,0.0,0.03,0.04,1.0,0.29,0.32,9.0,2.0,0.07,0.06,0.0,1.0,4.0,0.13,0.14,0.0,0.0,0.0,0.25,0.23,7.0,0.0,7.25,28.0,0.9,0.98,0.88,0.81,25.0,21.0,0.74,12.21,11.23,348.0,156.0,5.47,5.03,44.83,41.0,1.44,28.36,38.0,1.23,1.33,0.0
