Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Pases x juego totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Pases totales,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases completos x partidos totales,Pases completos x cada 90 min,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Aaron Cresswell,34,Defender,West Ham United,Premier League,England,8.721649484536083,60.0,10.0,1.17,80.0,44.21,0.36,39.21,0.72,899.0,1098.0,,,,,,,,,,,,,,,,,,,
Aaron Ramsdale,25,Goalkeeper,Arsenal,Premier League,England,9.00257731958763,,,,,,,24.58,,,934.0,68.38,2.45,93.0,15.74,15.74,13.0,0.11,2.45,,,,,,,,,,,
Adam Smith,32,Defender,AFC Bournemouth,Premier League,England,8.587628865979383,115.0,13.0,0.95,80.0,28.87,0.89,25.57,0.85,712.0,946.0,,,,,,,,,,,,,,,,,,,
Aleksandar Mitrović,29,Forward,Fulham,Premier League,Serbia,9.177835051546392,,,,,,,20.25,,,,,,,12.38,13.26,,,,0.96,3.17,1.56,2.77,1.79,7.86,144.0,,,,
Alex Iwobi,27,Forward,Everton,Premier League,Nigeria,8.91237113402062,,,,,,,36.05,,,,,,,28.46,28.79,,,,1.32,0.78,0.38,1.07,0.41,3.88,1691.0,,,,
Alexis Mac Allister,25,Midfielder,Brighton & Hove Albion,Premier League,Argentina,9.06958762886598,,,,82.0,,,48.77,,1486.0,1707.0,,,,42.46,47.56,,,,,,,,,,,1.23,0.37,1.38,43.0
Alisson Becker,31,Goalkeeper,Liverpool,Premier League,Brazil,9.000000000000002,,,,,,,33.62,,,1244.0,71.33,2.89,107.0,27.95,27.95,22.0,0.14,2.89,,,,,,,,,,,
Amadou Onana,22,Midfielder,Everton,Premier League,Belgium,8.981958762886599,,,,78.0,,,29.18,,809.0,963.0,,,,24.52,29.16,,,,,,,,,,,0.67,0.11,0.79,22.0
Andreas Pereira,28,Midfielder,Fulham,Premier League,Brazil,8.971649484536085,,,,82.0,,,25.28,,589.0,809.0,,,,18.41,20.09,,,,,,,,,,,1.84,0.33,2.01,59.0
Andrew Robertson,30,Defender,Liverpool,Premier League,Scotland,9.007731958762887,86.0,5.0,0.77,76.0,62.35,0.77,52.74,0.66,1510.0,1793.0,,,,,,,,,,,,,,,,,,,
