,Nombre,Edad,Fecha de nacimiento,Liga,Temporada,Posicion,Club,Nacionalidad,Calificacion,Minutos jugados totales,Minutos jugados local,Minutos jugados visita,Apariciones totales,Apariciones local,Apariciones visita,Goles totales,Goles local,Goles visita,Asistencias totales,Asistencias local,Asistencias visita,Goles penal,Penales errados,Partidos sin gol recibido totales,Partidos sin gol recibido local,Partidos sin gol recibido visita,Goles permitidos totales,Goles permitidos local,Goles permitidos visita,Tarjetas amarillas totales,Tarjetas rojas totales,Participacion en goles x cada 90 min totales,Asistencias x cada 90 min totales,Goles x cada 90 min totales,Goles x cada 90 min local,Goles x cada 90 min visita,Minutos x gol totales,Goles permitidos x cada 90 min totales,Minutos x goles permitidos totales,Minutos x partido,Minutos x tarjeta totales,Minutos x asistencia totales,Tarjetas x cada 90 min totales,Calificacion,Asistencias x partido totales,Pases x cada 90 minutos totales,Pases x juego totales,Pases totales,Pases completos x partidos totales,Pases completos totales,Pases completos x cada 90 min,Pases clave x partido totales,Pases clave totales,Centros x partido totales,Entradas x cada 90 min totales,Entradas x partido totales,Entradas totales,Balones perdidos x partido totales,Atajadas x partido totales,Intercepciones x partido totales,Regates existosos x partido totales,Tiros recibidos x partido totales,Tiros x goles anotados totales,Tiros x cada 90 min totales,Tiros desviados x partido totales,Regates x partido totales,Tiros puerta x partido totales,Duelos aereos ganados x partidos totales,Tiros totales,Tiros x partido totales,Tiros a puerta totales,Tiros puerta x cada 90 min totales,Tiros desviados totales,Tiros desviados x cada 90 min totales,Intercepciones totales,Intercepciones x cada 90 min totales,Centros totales,Centros x cada 90 min totales,Pases clave x cada 90 min totales,Regates totales,Regates x cada 90 min totales,Regates existosos totales,Regates existosos x cada 90 min totales,Porcentaje regates existosos totales,Atajadas totales,Atajadas x cada 90 min totales,Tiros recibidos totales,Tiros recibidos x cada 90 min totales,Porcentaje atajadas totales,Porcentaje pases completos totales,Porcentaje tiros precisos totales,Duelos regate perdidos x cada partido totales,Duelos regate perdidos x cada 90 min totales,Duelos regate perdidos totales,Penales anotados totales,Penales errados totales,Bloqueos x partido totales,Bloqueos x cada 90 min totales,Bloqueos totales,Despejes x partido totales,Despejes x cada 90 min totales,Despejes totales,Penales cometidos totales,Penales cometidos x cada 90 min totales,Penales cometidos x partido totales,Penales atajados totales,Penales ejecutados totales,Tiros a poste totales,Tiros a poste x partido totales,Tiros a poste x cada 90 min totales,Punetazos totales,Punetazos x partido totales,Punetazos x cada 90 min totales,Offsides x cada 90 min totales,Offsides x partido totales,Offsides totales,Penales generados totales,Tasa tiros/goles totales,Faltas recibidas totales,Faltas recibidas x partido totales,Faltas recibidas x cada 90 min totales,Faltas cometidas x cada 90 min totales,Faltas cometidas x partido totales,Faltas cometidas totales,Duelos aereos ganados totales,Duelos aereos ganados x cada 90 min totales,Duelos x cada 90 min totales,Duelos x partido totales,Duelos totales,Duelos ganados totales,Duelos ganados x cada 90 min totales,Duelos ganados x partido totales,Porcentaje duelos ganados totales,Balones perdidos totales,Balones perdidos x cada 90 min totales,Porcentaje centros precisos totales,Centros precisos totales,Centros precisos x partido totales,Centros precisos x cada 90 min totales,Hattricks totales
0,Aaron Cresswell,34,15/12/1989,Premier League,2022/2023,Defender,West Ham United,England,0.8543814432989691,0.1643159379407615,0.32511210762331844,0.3804463336875664,0.3333333333333335,0.4444444444444442,0.40000000000000013,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.0,0.28,0.3125,0.23076923076923078,0.3666666666666666,0.4117647058823529,0.3142857142857143,0.21428571428571427,0.0,0.028169014084507046,0.06779661016949154,0.0,0.0,0.0,0.0,0.4411764705882353,0.15740740740740738,0.7222222222222223,0.21783625730994152,0.6535087719298246,0.21818181818181817,0.8543814432989691,0.08,0.4569981393425678,0.46801145858200044,0.36405835543766574,0.42484784334480025,0.3303932377802279,0.3956284153005465,0.426332288401254,0.3220338983050847,0.4436958614051973,0.19675925925925924,0.176056338028169,0.14482758620689656,0.08012820512820512,0.0,0.4008620689655173,0.02028985507246377,0.0,0.0,0.03314917127071823,0.04093567251461989,0.022332506203473945,0.020833333333333336,0.17420435510887775,0.026785714285714284,0.03343465045592705,0.015873015873015872,0.01970443349753695,0.037037037037037035,0.04371584699453551,0.38235294117647056,0.41015625,0.3265822784810127,0.4882408278457197,0.4203296703296703,0.018796992481203006,0.02366863905325444,0.017543859649122806,0.022099447513812157,0.4,0.0,0.0,0.0,0.0,0.0,0.8657221399873123,0.3333,0.3298969072164949,0.3116883116883117,0.2727272727272727,0.0,0.0,0.18,0.2,0.13513513513513514,0.2614942528735632,0.2945402298850574,0.2524752475247525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07339449541284403,0.07216494845360827,0.058823529411764705,0.0,0.0,0.06611570247933884,0.07901907356948229,0.08333333333333334,0.11249999999999999,0.1415929203539823,0.1168831168831169,0.14285714285714285,0.16455696202531644,0.26426264800861143,0.2592152199762188,0.21328671328671328,0.2127659574468085,0.2588235294117647,0.24970828471411904,0.4918,0.07954545454545454,0.07650273224043716,0.3023,0.2867647058823529,0.38826815642458096,0.42896174863387976,0.0
2,Aaron Ramsdale,25,14/05/1998,Premier League,2022/2023,Goalkeeper,Arsenal,England,0.88659793814433,0.9999999999999998,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.25,0.7692307692307693,0.5333333333333333,0.676470588235294,0.34285714285714286,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357843137254902,0.20833333333333331,1.0,1.0,0.0,0.05454545454545454,0.88659793814433,0.0,0.2540831093653091,0.2933874433038911,0.30968169761273207,0.2082561524212755,0.21977214259463435,0.17202185792349728,0.0,0.0,0.0,0.006944444444444443,0.007042253521126761,0.006896551724137931,0.0,0.5990220048899756,0.0,0.008695652173913044,0.6006711409395974,0.0,0.0,0.0,0.003722084367245657,0.0,0.030150753768844223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.003550295857988166,0.008771929824561403,0.008287292817679558,1.0,0.6283783783783784,0.5990220048899756,0.68,0.5907590759075908,0.8303582270795385,0.6769930217805032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278735632183908,0.1278735632183908,0.16831683168316833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48275862068965514,0.44047619047619047,0.44047619047619047,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.029972752043596732,0.028645833333333336,0.0,0.0,0.0,0.034482758620689655,0.02531645569620253,0.018299246501614644,0.020214030915576695,0.022727272727272728,0.0425531914893617,0.034224598930481284,0.037339556592765465,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Adam Smith,32,29/04/1991,Premier League,2022/2023,Defender,AFC Bournemouth,England,0.8505154639175259,0.6678420310296189,0.882286995515695,0.6110520722635494,0.9333333333333336,1.0,0.8,0.0,0.0,0.0,0.0625,0.1,0.0,0.0,0.0,0.28,0.3125,0.23076923076923078,0.75,0.7058823529411764,0.6857142857142857,0.7857142857142857,0.0,0.02112676056338028,0.05084745762711865,0.0,0.0,0.0,0.0,0.6372549019607843,0.07870370370370366,0.7222222222222223,0.0783625730994152,0.862280701754386,0.6181818181818182,0.8505154639175259,0.06,0.29842877816828617,0.30520410599188347,0.3136604774535809,0.25456469965599365,0.2616685042263874,0.23748633879781422,0.13479623824451412,0.13559322033898305,0.12704523580365737,0.3680555555555555,0.33098591549295775,0.3586206896551724,0.02564102564102564,0.0,0.3017241379310345,0.04057971014492754,0.0,0.0,0.016574585635359115,0.017543859649122806,0.07692307692307691,0.015625,0.1407035175879397,0.017857142857142856,0.015197568389057751,0.015873015873015872,0.01477832512315271,0.018518518518518517,0.016393442622950817,0.38235294117647056,0.30859375,0.12405063291139241,0.14111006585136407,0.1346153846153846,0.08646616541353383,0.08284023668639054,0.043859649122807015,0.04143646408839779,0.21739999999999998,0.0,0.0,0.0,0.0,0.0,0.7957284838232185,0.5,0.3917525773195877,0.36796536796536794,0.42424242424242425,0.0,0.0,0.175,0.2,0.17567567567567569,0.271551724137931,0.3074712643678161,0.34653465346534656,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2231404958677686,0.19891008174386923,0.21354166666666666,0.278125,0.3451327433628319,0.37662337662337664,0.15270935960591134,0.13361462728551335,0.36975242195909586,0.361474435196195,0.39335664335664333,0.4078014184397163,0.37540106951871655,0.3628938156359393,0.5111,0.03409090909090909,0.024590163934426226,0.38780000000000003,0.13970588235294118,0.1424581005586592,0.15846994535519124,0.0
15,Aleksandar Mitrović,29,16/09/1994,Premier League,2022/2023,Forward,Fulham,Serbia,0.9123711340206186,0.009167842031029494,0.22085201793721965,0.2454835281615303,0.06666666666666687,0.2222222222222221,0.20000000000000018,0.38888888888888884,0.36363636363636365,0.375,0.0625,0.0,0.125,0.5714285714285714,1.0,0.28,0.1875,0.38461538461538464,0.33333333333333337,0.4411764705882353,0.2285714285714286,0.5,0.0,0.47183098591549305,0.06779661016949154,0.5384615384615385,0.47019867549668876,0.574468085106383,0.042105263157894736,0.46568627450980393,0.1435185185185185,0.833333333333333,0.08421052631578947,0.5891812865497076,0.5636363636363636,0.9123711340206186,0.08,0.2243125904486252,0.241704464072571,0.16114058355437666,0.16379994707594603,0.1091510474090408,0.14491803278688525,0.2100313479623825,0.13559322033898305,0.016361886429258902,0.13425925925925924,0.1267605633802817,0.0896551724137931,0.8269230769230769,0.0,0.05172413793103448,0.2782608695652174,0.0,0.11804347826086956,0.9364640883977902,0.9999999999999999,0.23325062034739452,0.7604166666666667,0.6984924623115578,0.6785714285714285,0.9635258358662613,0.5555555555555556,0.7684729064039411,0.7592592592592592,0.9999999999999999,0.044117647058823525,0.05078125,0.010126582278481013,0.016933207902163686,0.19505494505494503,0.16917293233082706,0.23786982248520708,0.20175438596491227,0.28453038674033154,0.5111,0.0,0.0,0.0,0.0,0.0,0.6461196870374286,0.46049999999999996,0.14948453608247422,0.1341991341991342,0.10606060606060606,0.5714285714285714,1.0,0.105,0.11,0.06756756756756757,0.11925287356321838,0.1278735632183908,0.09900990099009901,0.0,0.0,0.0,0.0,1.0,0.125,0.16666666666666669,0.16,0.0,0.0,0.0,0.5688073394495412,0.5979381443298969,0.4117647058823529,0.4,0.36840000000000006,0.3305785123966942,0.4550408719346049,0.46614583333333337,0.475,0.6283185840707964,0.4415584415584416,0.49261083743842365,0.6272855133614627,0.9612486544671691,0.9910820451843045,0.6993006993006993,0.624113475177305,0.8406417112299466,0.8553092182030338,0.44,0.7045454545454546,0.7568306010928961,0.25,0.007352941176470588,0.0111731843575419,0.010928961748633878,0.0
16,Alex Iwobi,27,03/05/1996,Premier League,2022/2023,Forward,Everton,Nigeria,0.9033505154639176,0.9732016925246827,0.9775784753363229,0.9808714133900106,1.0,1.0,0.9000000000000001,0.05555555555555555,0.045454545454545456,0.0625,0.4375,0.4,0.375,0.0,0.0,0.32,0.4375,0.15384615384615385,0.7666666666666666,0.7058823529411764,0.7142857142857142,0.14285714285714285,0.0,0.16901408450704225,0.3220338983050848,0.04273504273504274,0.033112582781456956,0.05319148936170213,0.49444444444444446,0.5441176470588235,0.10648148148148145,0.9722222222222219,0.49444444444444446,0.1412280701754386,0.09090909090909091,0.9033505154639176,0.36,0.37698986975397974,0.43029362616376216,0.4423076923076923,0.376554644085737,0.3869900771775083,0.3146448087431694,0.5266457680250783,0.5254237288135594,0.2675649663137632,0.4305555555555555,0.431924882629108,0.4689655172413793,0.3365384615384615,0.0,0.2801724137931035,0.3826086956521739,0.0,0.31521739130434784,0.21823204419889505,0.239766081871345,0.3325062034739454,0.19791666666666669,0.04522613065326634,0.2589285714285714,0.23708206686930092,0.2222222222222222,0.187192118226601,0.2777777777777778,0.2240437158469945,0.3529411764705882,0.2578125,0.2607594936708861,0.2652869238005644,0.467032967032967,0.3721804511278195,0.3207100591715977,0.4298245614035088,0.37016574585635365,0.4949,0.0,0.0,0.0,0.0,0.0,0.8346373440473672,0.4828,0.41752577319587636,0.35497835497835495,0.4545454545454546,0.0,0.0,0.025,0.025,0.02702702702702703,0.10919540229885057,0.11063218390804597,0.13861386138613863,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.12,0.0,0.0,0.0,0.10091743119266054,0.11340206185567012,0.11764705882352941,0.2,0.138,0.12396694214876033,0.11171662125340599,0.10677083333333333,0.153125,0.2168141592920354,0.2337662337662338,0.04926108374384237,0.0379746835443038,0.44294940796555443,0.4839476813317479,0.5262237762237763,0.5035460992907801,0.41497326203208557,0.44807467911318555,0.4718,0.4431818181818182,0.2923497267759563,0.2816,0.21323529411764705,0.21787709497206703,0.21584699453551912,0.0
23,Alexis Mac Allister,25,24/12/1998,Premier League,2022/2023,Midfielder,Brighton & Hove Albion,Argentina,0.8994845360824744,0.6234132581100142,0.6569506726457398,0.7577045696068013,0.8000000000000003,0.7777777777777777,0.8,0.2777777777777778,0.3181818181818182,0.1875,0.125,0.2,0.0,0.8571428571428571,0.0,0.4,0.5,0.23076923076923078,0.5333333333333333,0.4117647058823529,0.6000000000000001,0.5714285714285714,0.0,0.2605633802816902,0.1016949152542373,0.26495726495726496,0.2980132450331126,0.19148936170212766,0.08450292397660819,0.4558823529411765,0.14814814814814814,0.7777777777777777,0.10555555555555556,0.42192982456140354,0.45454545454545453,0.8994845360824744,0.12,0.5647095307008477,0.5821198376700883,0.5659814323607427,0.5617888330246097,0.5461227489893422,0.5197814207650273,0.38557993730407525,0.3644067796610169,0.07410972088546679,0.49537037037037035,0.44835680751173707,0.46206896551724136,0.28525641025641024,0.0,0.24568965517241378,0.3159420289855073,0.0,0.15456521739130435,0.5662983425414364,0.52046783625731,0.2096774193548387,0.4895833333333333,0.11557788944723618,0.5714285714285714,0.5562310030395137,0.5238095238095237,0.5221674876847292,0.5740740740740741,0.540983606557377,0.29411764705882354,0.25,0.06835443037974684,0.08090310442144873,0.37912087912087905,0.22180451127819548,0.22366863905325443,0.3333333333333333,0.3370165745856354,0.6441,0.0,0.0,0.0,0.0,0.0,0.920384859378304,0.5156000000000001,0.5,0.47186147186147187,0.5151515151515151,0.7142857142857142,0.0,0.03,0.03,0.02702702702702703,0.037356321839080456,0.041666666666666664,0.04455445544554455,0.0,0.0,0.0,0.0,0.625,0.125,0.125,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2812,0.4628099173553719,0.43596730245231613,0.46614583333333337,0.33125000000000004,0.415929203539823,0.4285714285714286,0.11822660098522167,0.10829817158931082,0.5462863293864372,0.5386444708680143,0.5541958041958042,0.6560283687943262,0.6331550802139038,0.6172695449241541,0.5836,0.3522727272727273,0.2704918032786885,0.2963,0.058823529411764705,0.06424581005586592,0.07103825136612021,0.0
26,Alisson Becker,31,02/10/1992,Premier League,2022/2023,Goalkeeper,Liverpool,Brazil,0.9123711340206186,0.9365303244005643,0.9999999999999999,0.9043570669500532,0.9333333333333336,1.0,0.8,0.0,0.0,0.0,0.0625,0.1,0.0,0.0,0.0,0.52,0.5625,0.38461538461538464,0.5499999999999999,0.4411764705882353,0.6000000000000001,0.07142857142857142,0.0,0.02112676056338028,0.05084745762711865,0.0,0.0,0.0,0.0,0.38725490196078427,0.18981481481481477,1.0,0.9736842105263158,0.9736842105263158,0.05454545454545454,0.9123711340206186,0.06,0.3475294604093446,0.4012890904750537,0.41246684350132623,0.36980682720296376,0.38000735023888277,0.30546448087431693,0.009404388714733543,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.7066014669926651,0.0,0.008695652173913044,0.6795302013422819,0.0,0.0,0.0,0.003722084367245657,0.0,0.05025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00824175824175824,0.0037593984962406013,0.003550295857988166,0.008771929824561403,0.008287292817679558,1.0,0.722972972972973,0.7066014669926651,0.75,0.6683168316831682,0.8661809350333941,0.8788327341932756,0.0,0.04123711340206186,0.03463203463203463,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.14367816091954022,0.14367816091954022,0.18316831683168316,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5862068965517241,0.5476190476190477,0.5476190476190477,0.0,0.0,0.0,0.0,0.0,0.04132231404958678,0.038147138964577665,0.03645833333333334,0.009375,0.01327433628318584,0.012987012987012988,0.054187192118226604,0.04219409282700422,0.031754574811625406,0.03507728894173603,0.038461538461538464,0.06028368794326241,0.04919786096256685,0.05367561260210035,0.7726999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Amadou Onana,22,16/08/2001,Premier League,2022/2023,Midfielder,Everton,Belgium,0.8930412371134021,0.3469675599435824,0.45964125560538116,0.5281615302869288,0.6000000000000001,0.6666666666666665,0.6000000000000001,0.027777777777777776,0.045454545454545456,0.0,0.125,0.0,0.25,0.0,0.0,0.28,0.4375,0.07692307692307693,0.44999999999999996,0.32352941176470584,0.5428571428571429,0.6428571428571428,0.0,0.07746478873239437,0.11864406779661019,0.03418803418803419,0.04635761589403974,0.0,0.7292397660818714,0.46568627450980393,0.1435185185185185,0.6666666666666665,0.08099415204678363,0.3646198830409357,0.5818181818181818,0.8930412371134021,0.12,0.35879677486045075,0.3482931487228455,0.3192970822281167,0.3244244509129399,0.29731716280779125,0.31868852459016395,0.2100313479623825,0.1864406779661017,0.014436958614051972,0.6087962962962962,0.5187793427230047,0.503448275862069,0.16666666666666666,0.0,0.4956896551724138,0.13043478260869565,0.0,0.6086956521739131,0.27900552486187846,0.391812865497076,0.14640198511166252,0.09375,0.29983249581239535,0.25,0.25835866261398177,0.09523809523809523,0.10837438423645322,0.4074074074074074,0.43169398907103823,0.5588235294117647,0.53515625,0.012658227848101266,0.016933207902163686,0.217032967032967,0.14661654135338345,0.1668639053254438,0.13157894736842105,0.14917127071823205,0.3846,0.0,0.0,0.0,0.0,0.0,0.8882427574540073,0.2143,0.1701030927835052,0.17316017316017318,0.16666666666666669,0.0,0.0,0.09,0.11,0.08108108108108109,0.16522988505747124,0.1968390804597701,0.18811881188118812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06422018348623854,0.061855670103092786,0.058823529411764705,0.0,0.0714,0.4049586776859504,0.4032697547683924,0.46093750000000006,0.496875,0.588495575221239,0.5714285714285715,0.29064039408866993,0.2995780590717299,0.6689989235737352,0.6212841854934601,0.6031468531468531,0.6950354609929078,0.7550802139037432,0.6931155192532089,0.5681,0.19318181818181818,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
34,Andreas Pereira,28,01/01/1996,Premier League,2022/2023,Midfielder,Fulham,Brazil,0.88659793814433,0.5049365303244004,0.6995515695067264,0.5387885228480341,0.666666666666667,0.7777777777777777,0.6000000000000001,0.1111111111111111,0.045454545454545456,0.1875,0.375,0.4,0.25,0.14285714285714285,0.0,0.28,0.1875,0.38461538461538464,0.4833333333333333,0.6470588235294118,0.2857142857142857,0.5714285714285714,0.0,0.23239436619718312,0.33898305084745767,0.11111111111111112,0.039735099337748346,0.22340425531914893,0.19883040935672516,0.4460784313725491,0.15740740740740738,0.7777777777777777,0.09941520467836258,0.1324561403508772,0.4727272727272727,0.88659793814433,0.36,0.28519743642753775,0.30174265934590594,0.268236074270557,0.24358295845461764,0.2164645350973907,0.21956284153005465,0.5768025078369907,0.5,0.5563041385948027,0.11805555555555554,0.11032863849765258,0.10344827586206896,0.49038461538461536,0.0,0.06896551724137932,0.14492753623188406,0.0,0.23369565217391303,0.40607734806629836,0.42105263157894735,0.15136476426799006,0.3229166666666667,0.046901172529313244,0.3839285714285714,0.4072948328267477,0.31746031746031744,0.33497536945812817,0.42592592592592593,0.4262295081967213,0.07352941176470588,0.06640625,0.46835443037974683,0.5936030103480715,0.5521978021978021,0.14661654135338345,0.15739644970414204,0.14035087719298245,0.1519337016574586,0.4103,0.0,0.0,0.0,0.0,0.0,0.7698244872065976,0.4651,0.3556701030927835,0.3246753246753247,0.33333333333333337,0.14285714285714285,0.0,0.045,0.05,0.04054054054054054,0.02729885057471264,0.028735632183908046,0.0297029702970297,0.25,0.25,0.25,0.0,0.125,0.5,0.5,0.56,0.0,0.0,0.0,0.06422018348623854,0.061855670103092786,0.058823529411764705,0.0,0.18600000000000003,0.24793388429752067,0.2561307901907357,0.265625,0.42500000000000004,0.5530973451327434,0.5194805194805195,0.04433497536945813,0.04360056258790436,0.42411194833153937,0.42925089179548154,0.40384615384615385,0.24822695035460993,0.2556149732620321,0.2555425904317386,0.303,0.5568181818181819,0.45628415300546443,0.3568,0.4852941176470588,0.5754189944134078,0.6147540983606556,0.0
37,Andrew Robertson,30,11/03/1994,Premier League,2022/2023,Defender,Liverpool,Scotland,0.8956185567010311,0.4132581100141044,0.49327354260089684,0.5961742826780022,0.7333333333333334,0.7777777777777777,0.7000000000000002,0.0,0.0,0.0,0.5,0.6000000000000001,0.25,0.0,0.0,0.48000000000000004,0.5,0.38461538461538464,0.4,0.3529411764705882,0.42857142857142855,0.21428571428571427,0.0,0.19718309859154934,0.47457627118644075,0.0,0.0,0.0,0.0,0.392156862745098,0.18518518518518517,0.6111111111111112,0.2523391812865497,0.09473684210526316,0.18181818181818182,0.8956185567010311,0.48,0.6445110605747365,0.6295058486512294,0.5944960212201591,0.5875893093410955,0.5549430356486587,0.573879781420765,0.4796238244514107,0.4406779661016949,0.5543792107795957,0.3148148148148148,0.26995305164319244,0.2689655172413793,0.07692307692307691,0.0,0.2025862068965517,0.12753623188405797,0.0,0.0,0.0856353591160221,0.08771929824561403,0.13523573200992556,0.0625,0.1088777219430486,0.08035714285714285,0.0790273556231003,0.06349206349206349,0.06896551724137932,0.09259259259259259,0.09289617486338797,0.23529411764705882,0.21875000000000003,0.49620253164556966,0.6415804327375353,0.4972527472527472,0.13909774436090225,0.15266272189349114,0.13157894736842105,0.14364640883977903,0.4054,0.0,0.0,0.0,0.0,0.0,0.8904631000211461,0.44439999999999996,0.2886597938144331,0.2857142857142857,0.2878787878787879,0.0,0.0,0.075,0.085,0.06756756756756757,0.16954022988505746,0.19971264367816088,0.19801980198019803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2201834862385321,0.21649484536082475,0.20588235294117646,0.0,0.0,0.08264462809917356,0.07901907356948229,0.09114583333333333,0.240625,0.28761061946902655,0.28571428571428575,0.10837438423645321,0.10829817158931082,0.3315392895586653,0.3097502972651605,0.3094405594405594,0.3049645390070922,0.3197860962566845,0.2952158693115519,0.48590000000000005,0.09090909090909091,0.07650273224043716,0.2755,0.39705882352941174,0.4441340782122905,0.5136612021857923,0.0
