,Nombre,Edad,Fecha de nacimiento,Liga,Temporada,Posicion,Club,Nacionalidad,Calificacion,Minutos jugados totales,Minutos jugados local,Minutos jugados visita,Apariciones totales,Apariciones local,Apariciones visita,Goles totales,Goles local,Goles visita,Asistencias totales,Asistencias local,Asistencias visita,Goles penal,Penales errados,Partidos sin gol recibido totales,Partidos sin gol recibido local,Partidos sin gol recibido visita,Goles permitidos totales,Goles permitidos local,Goles permitidos visita,Tarjetas amarillas totales,Tarjetas rojas totales,Participacion en goles x cada 90 min totales,Asistencias x cada 90 min totales,Goles x cada 90 min totales,Goles x cada 90 min local,Goles x cada 90 min visita,Minutos x gol totales,Goles permitidos x cada 90 min totales,Minutos x goles permitidos totales,Minutos x partido,Minutos x tarjeta totales,Minutos x asistencia totales,Tarjetas x cada 90 min totales,Calificacion,Asistencias x partido totales,Pases x cada 90 minutos totales,Pases x juego totales,Pases totales,Pases completos x partidos totales,Pases completos totales,Pases completos x cada 90 min,Pases clave x partido totales,Pases clave totales,Centros x partido totales,Entradas x cada 90 min totales,Entradas x partido totales,Entradas totales,Balones perdidos x partido totales,Atajadas x partido totales,Intercepciones x partido totales,Regates existosos x partido totales,Tiros recibidos x partido totales,Tiros x goles anotados totales,Tiros x cada 90 min totales,Tiros desviados x partido totales,Regates x partido totales,Tiros puerta x partido totales,Duelos aereos ganados x partidos totales,Tiros totales,Tiros x partido totales,Tiros a puerta totales,Tiros puerta x cada 90 min totales,Tiros desviados totales,Tiros desviados x cada 90 min totales,Intercepciones totales,Intercepciones x cada 90 min totales,Centros totales,Centros x cada 90 min totales,Pases clave x cada 90 min totales,Regates totales,Regates x cada 90 min totales,Regates existosos totales,Regates existosos x cada 90 min totales,Porcentaje regates existosos totales,Atajadas totales,Atajadas x cada 90 min totales,Tiros recibidos totales,Tiros recibidos x cada 90 min totales,Porcentaje atajadas totales,Porcentaje pases completos totales,Porcentaje tiros precisos totales,Duelos regate perdidos x cada partido totales,Duelos regate perdidos x cada 90 min totales,Duelos regate perdidos totales,Penales anotados totales,Penales errados totales,Bloqueos x partido totales,Bloqueos x cada 90 min totales,Bloqueos totales,Despejes x partido totales,Despejes x cada 90 min totales,Despejes totales,Penales cometidos totales,Penales cometidos x cada 90 min totales,Penales cometidos x partido totales,Penales atajados totales,Penales ejecutados totales,Tiros a poste totales,Tiros a poste x partido totales,Tiros a poste x cada 90 min totales,Punetazos totales,Punetazos x partido totales,Punetazos x cada 90 min totales,Offsides x cada 90 min totales,Offsides x partido totales,Offsides totales,Penales generados totales,Tasa tiros/goles totales,Faltas recibidas totales,Faltas recibidas x partido totales,Faltas recibidas x cada 90 min totales,Faltas cometidas x cada 90 min totales,Faltas cometidas x partido totales,Faltas cometidas totales,Duelos aereos ganados totales,Duelos aereos ganados x cada 90 min totales,Duelos x cada 90 min totales,Duelos x partido totales,Duelos totales,Duelos ganados totales,Duelos ganados x cada 90 min totales,Duelos ganados x partido totales,Porcentaje duelos ganados totales,Balones perdidos totales,Balones perdidos x cada 90 min totales,Porcentaje centros precisos totales,Centros precisos totales,Centros precisos x partido totales,Centros precisos x cada 90 min totales,Hattricks totales
0,Aaron Cresswell,34,15/12/1989,Premier League,2022/2023,Defender,West Ham United,England,6.63,2235,1108,1127,28,14,14,0,0,0,1,0,1,0,0,8,5,3,31,15,16,3,0,0.04,0.04,0.0,0.0,0.0,0,1.25,72,80,745,2235,0.12,6.63,0.04,44.21,39.21,1098.0,32.11,899.0,36.2,1.36,38.0,4.61,0.85,0.75,21.0,0.25,0.0,0.93,0.07,0.0,0.0,0.12,0.07,0.18,0.04,1.04,3.0,0.11,1.0,0.04,2.0,0.08,26.0,1.05,129.0,5.19,1.53,5.0,0.2,2.0,0.08,40.0,0.0,0.0,0.0,0.0,0.0,81.88,33.33,0.64,0.72,18.0,0.0,0.0,0.36,0.4,10.0,1.82,2.05,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,2.0,0.0,0.0,8.0,0.29,0.32,0.36,0.32,9.0,29.0,1.17,4.91,4.36,122.0,60.0,2.42,2.14,49.18,7.0,0.28,30.23,39.0,1.39,1.57,0.0
2,Aaron Ramsdale,25,14/05/1998,Premier League,2022/2023,Goalkeeper,Arsenal,England,6.88,3420,1710,1710,38,19,19,0,0,0,0,0,0,0,0,14,4,10,41,24,17,1,0,0.0,0.0,0.0,0.0,0.0,0,1.08,83,90,3420,0,0.03,6.88,0.0,24.58,24.58,934.0,15.74,598.0,15.74,0.0,0.0,0.0,0.03,0.03,1.0,0.0,2.45,0.0,0.03,3.58,0.0,0.0,0.0,0.03,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.03,100.0,93.0,2.45,136.0,3.58,68.38,64.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.89,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,4.0,0.11,0.11,0.0,0.0,0.0,7.0,0.18,0.34,0.34,13.0,12.0,0.32,0.32,92.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Adam Smith,32,29/04/1991,Premier League,2022/2023,Defender,AFC Bournemouth,England,6.6,2949,1605,1344,37,19,18,0,0,0,1,1,0,0,0,8,5,3,54,25,29,11,0,0.03,0.03,0.0,0.0,0.0,0,1.65,55,80,268,2949,0.34,6.6,0.03,28.87,25.57,946.0,19.24,712.0,21.73,0.43,16.0,1.32,1.59,1.41,52.0,0.08,0.0,0.7,0.14,0.0,0.0,0.06,0.03,0.62,0.03,0.84,2.0,0.05,1.0,0.03,1.0,0.03,26.0,0.79,49.0,1.5,0.49,23.0,0.7,5.0,0.15,21.74,0.0,0.0,0.0,0.0,0.0,75.26,50.0,0.76,0.85,28.0,0.0,0.0,0.35,0.4,13.0,1.89,2.14,70.0,1.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.73,0.82,0.89,0.78,29.0,31.0,0.95,6.87,6.08,225.0,115.0,3.51,3.11,51.11,3.0,0.09,38.78,19.0,0.51,0.58,0.0
15,Aleksandar Mitrović,29,16/09/1994,Premier League,2022/2023,Forward,Fulham,Serbia,7.08,2015,1015,1000,24,12,12,14,8,6,1,0,1,4,4,8,3,5,29,16,13,7,0,0.67,0.04,0.63,0.71,0.54,144,1.3,69,84,288,2015,0.31,7.08,0.04,21.7,20.25,486.0,12.38,297.0,13.26,0.67,16.0,0.17,0.58,0.54,13.0,2.58,0.0,0.12,0.96,0.0,5.43,3.39,1.71,1.88,1.46,4.17,76.0,3.17,35.0,1.56,41.0,1.83,3.0,0.13,4.0,0.18,0.71,45.0,2.01,23.0,1.03,51.11,0.0,0.0,0.0,0.0,0.0,61.11,46.05,0.29,0.31,7.0,4.0,4.0,0.21,0.22,5.0,0.83,0.89,20.0,0.0,0.0,0.0,0.0,8.0,1.0,0.04,0.04,0.0,0.0,0.0,0.62,0.58,14.0,2.0,18.42,40.0,1.67,1.79,1.52,1.42,34.0,100.0,4.46,17.86,16.67,400.0,176.0,7.86,7.33,44.0,62.0,2.77,25.0,1.0,0.04,0.04,0.0
16,Alex Iwobi,27,03/05/1996,Premier League,2022/2023,Forward,Everton,Nigeria,7.01,3382,1690,1692,38,19,19,2,1,1,7,4,3,0,0,9,7,2,55,25,30,2,0,0.24,0.19,0.05,0.05,0.05,1691,1.46,61,89,1691,483,0.05,7.01,0.18,36.47,36.05,1334.0,28.46,1053.0,28.79,1.68,62.0,2.78,1.86,1.84,68.0,1.05,0.0,0.65,1.32,0.0,14.5,0.79,0.41,2.68,0.38,0.27,29.0,0.78,14.0,0.38,15.0,0.41,24.0,0.66,103.0,2.82,1.7,99.0,2.71,49.0,1.34,49.49,0.0,0.0,0.0,0.0,0.0,78.94,48.28,0.81,0.82,30.0,0.0,0.0,0.05,0.05,2.0,0.76,0.77,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,0.03,0.0,0.0,0.0,0.11,0.11,4.0,1.0,6.9,15.0,0.41,0.41,0.49,0.49,18.0,10.0,0.27,8.23,8.14,301.0,142.0,3.88,3.84,47.18,39.0,1.07,28.16,29.0,0.78,0.79,0.0
23,Alexis Mac Allister,25,24/12/1998,Premier League,2022/2023,Midfielder,Brighton & Hove Albion,Argentina,6.98,2886,1404,1482,35,17,18,10,7,3,2,2,0,6,0,11,8,3,41,15,26,8,0,0.37,0.06,0.31,0.45,0.18,289,1.28,70,82,361,1443,0.25,6.98,0.06,54.63,48.77,1707.0,42.46,1486.0,47.56,1.23,43.0,0.77,2.14,1.91,67.0,0.89,0.0,0.57,1.09,0.0,7.11,2.05,0.89,1.69,0.94,0.69,64.0,1.83,33.0,1.06,31.0,0.99,20.0,0.64,27.0,0.86,1.38,59.0,1.89,38.0,1.22,64.41,0.0,0.0,0.0,0.0,0.0,87.05,51.56,0.97,1.09,34.0,5.0,0.0,0.06,0.06,2.0,0.26,0.29,9.0,0.0,0.0,0.0,0.0,5.0,1.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.06,56.0,1.6,1.79,1.06,0.94,33.0,24.0,0.77,10.15,9.06,317.0,185.0,5.92,5.29,58.36,31.0,0.99,29.63,8.0,0.23,0.26,0.0
26,Alisson Becker,31,02/10/1992,Premier League,2022/2023,Goalkeeper,Liverpool,Brazil,7.08,3330,1710,1620,37,19,18,0,0,0,1,1,0,0,0,14,9,5,42,16,26,1,0,0.03,0.03,0.0,0.0,0.0,0,1.14,79,90,3330,3330,0.03,7.08,0.03,33.62,33.62,1244.0,27.95,1034.0,27.95,0.03,1.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.03,4.05,0.0,0.0,0.0,0.03,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0,0.03,1.0,0.03,100.0,107.0,2.89,150.0,4.05,71.33,83.12,0.0,0.08,0.08,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0,5.0,0.14,0.14,0.03,0.03,1.0,11.0,0.3,0.59,0.59,22.0,17.0,0.46,0.46,77.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Amadou Onana,22,16/08/2001,Premier League,2022/2023,Midfielder,Everton,Belgium,6.93,2494,1228,1266,32,16,16,1,1,0,2,0,2,0,0,8,7,1,36,12,24,9,0,0.11,0.07,0.04,0.07,0.0,2494,1.3,69,78,277,1247,0.32,6.93,0.06,34.71,29.18,963.0,24.52,809.0,29.16,0.67,22.0,0.15,2.63,2.21,73.0,0.52,0.0,1.15,0.45,0.0,28.0,1.01,0.67,1.18,0.18,1.79,28.0,0.85,6.0,0.22,22.0,0.79,38.0,1.37,5.0,0.18,0.79,39.0,1.41,15.0,0.54,38.46,0.0,0.0,0.0,0.0,0.0,84.01,21.43,0.33,0.4,11.0,0.0,0.0,0.18,0.22,6.0,1.15,1.37,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,2.0,0.0,3.57,49.0,1.48,1.77,1.59,1.33,44.0,59.0,2.13,12.43,10.45,345.0,196.0,7.06,5.94,56.81,17.0,0.61,0.0,0.0,0.0,0.0,0.0
34,Andreas Pereira,28,01/01/1996,Premier League,2022/2023,Midfielder,Fulham,Brazil,6.88,2718,1442,1276,33,17,16,4,1,3,6,4,2,1,0,8,3,5,38,23,15,8,0,0.33,0.2,0.13,0.06,0.21,680,1.26,72,82,340,453,0.26,6.88,0.18,27.59,25.28,809.0,18.41,589.0,20.09,1.84,59.0,5.78,0.51,0.47,15.0,1.53,0.0,0.16,0.5,0.0,10.75,1.47,0.72,1.22,0.62,0.28,43.0,1.34,20.0,0.68,23.0,0.78,5.0,0.17,185.0,6.31,2.01,39.0,1.33,16.0,0.55,41.03,0.0,0.0,0.0,0.0,0.0,72.81,46.51,0.69,0.75,22.0,1.0,0.0,0.09,0.1,3.0,0.19,0.2,6.0,1.0,0.03,0.03,0.0,1.0,4.0,0.12,0.14,0.0,0.0,0.0,0.07,0.06,2.0,0.0,9.3,30.0,0.94,1.02,1.36,1.25,40.0,9.0,0.31,7.88,7.22,231.0,70.0,2.39,2.19,30.3,49.0,1.67,35.68,66.0,2.06,2.25,0.0
37,Andrew Robertson,30,11/03/1994,Premier League,2022/2023,Defender,Liverpool,Scotland,6.95,2588,1258,1330,34,17,17,0,0,0,8,6,2,0,0,13,8,5,33,13,20,3,0,0.28,0.28,0.0,0.0,0.0,0,1.15,78,76,863,324,0.1,6.95,0.24,62.35,52.74,1793.0,44.41,1510.0,52.51,1.53,52.0,5.76,1.36,1.15,39.0,0.24,0.0,0.47,0.44,0.0,0.0,0.31,0.15,1.09,0.12,0.65,9.0,0.26,4.0,0.14,5.0,0.17,16.0,0.56,196.0,6.82,1.81,37.0,1.29,15.0,0.52,40.54,0.0,0.0,0.0,0.0,0.0,84.22,44.44,0.56,0.66,19.0,0.0,0.0,0.15,0.17,5.0,1.18,1.39,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.21,7.0,0.0,0.0,10.0,0.29,0.35,0.77,0.65,22.0,22.0,0.77,6.16,5.21,177.0,86.0,2.99,2.53,48.59,8.0,0.28,27.55,54.0,1.59,1.88,0.0
